maths,hindi,english,computer,name
36,82,78,14,Tyne Bayston
40,43,3,23,Phylys Scoggin
44,66,74,14,Alan Farquhar
70,92,3,37,Rodolphe Springthorp
30,79,46,65,Rodge Botten
79,70,37,10,Adeline Perigoe
78,56,22,56,Kamillah Yackiminie
73,60,44,47,Halette Beardwood
33,65,49,31,Rene Le Blond
76,52,68,39,Asher Ansteys
73,56,29,8,Dina Saines
46,85,80,1,Hillyer Teissier
75,42,54,73,Buckie Pickle
90,64,67,34,Elliott Blenkin
88,67,51,30,Nollie Ealles
52,35,93,66,Netti Cottrill
42,38,24,33,Marcel Amott
53,95,87,5,Whitman Mardee
86,29,25,37,Tamar Coslitt
25,90,47,39,Barris Webley
50,26,15,10,Delbert Emmanuele
54,32,29,67,Avrit Duckett
63,89,89,37,Blaire Palumbo
36,55,99,4,Jessalin Gaskarth
38,57,54,30,Tyson Gollin
64,76,82,72,Kurt Tiplady
61,82,84,9,Melisenda Klouz
50,72,83,57,Langston Jakubski
48,52,92,67,Pearline Adey
78,65,11,33,Adelaide Eberlein
37,57,91,56,Bertrand De Fraine
56,27,31,25,Janos Trimble
70,97,75,9,Bartholemy Worlock
60,52,61,44,Powell Ludmann
30,71,37,19,Hewe Klugel
34,85,49,46,Demetris Malatalant
54,37,67,14,Art Jelks
40,27,18,12,Winna Ellyatt
62,68,42,64,Irita Prendergrast
43,91,5,50,Emogene Pilling
79,42,38,42,Wynn Paggitt
38,49,5,25,Kare Boffey
54,25,64,51,Adina Kleinsmuntz
72,70,5,8,Guntar Domino
83,27,9,12,Padraig Celand
32,40,69,61,Wainwright Shewery
71,63,25,6,Clerissa Howsin
54,94,95,75,Lorianna Dailly
96,79,66,17,Hermann Jimes
58,91,79,20,Reggie Bartolini
